"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1791139862206382087","Thu May 16 16:13:15 +0000 2024","0","8 tahun berlalu 3 pelaku baru dpo. Terus selama 8 tahun ini ngapain aja om? Wkwk","1791139862206382087","","","in","","0","0","0","https://twitter.com/nawaderring/status/1791139862206382087","1095025100909248513","nawaderring"
"1791050207091937533","Thu May 16 16:11:44 +0000 2024","0","@AntarticaSnowWW @vanc1Bozz Alm. Ayah aku sangat mencintai almh. Ibuku walaupun ngga kerja sore2 mereka sering main piano/gitar sambil nyanyi berduaan seperti orang pacaran. Ayahku bela ibu yg ngga kerja bhw ibu adalah pelaku Household Economy Ibuku kerja setelah Ayahku meninggal.","1791139478758949229","","AntarticaSnowWW","in","","0","0","0","https://twitter.com/AriskaPutraS/status/1791139478758949229","1603536827725811712","AriskaPutraS"
"1791139231194349968","Thu May 16 16:10:45 +0000 2024","0","Cafe Minamdang sudah selesaiii Senangnya dalam hati bisa menebak pelaku aslinya Gerak-geriknya emang ga gampang buat dibaca waktu masih episode awal but I got that feeling and BOOMM I got it!! Gilsssss ceritanya baguzzz Ahhh komedinya jgn smpe ketinggalan ","1791139231194349968","","","in","","0","1","0","https://twitter.com/ystciapl/status/1791139231194349968","1559589159970689024","ystciapl"
"1791127756870414847","Thu May 16 16:08:15 +0000 2024","1","@tomkeirblyth @literarybase Zionis kurang tau tapi belio enabler SA berhubung anaknya pelaku.","1791138603923632438","","tomkeirblyth","in","25+ • 📚 14/50 • 🌹’s • bi","0","0","0","https://twitter.com/isagyis/status/1791138603923632438","1544664827569659909","isagyis"
"1791118852790841725","Thu May 16 16:08:11 +0000 2024","2","@Gojekmilitan Sy slah satu mantan alhamdulillah Allah masih sayang ma sy. Smuanya hampir hancur karir keluarga ekonomi kesehatan dll. Keluarga harus keras dan tegas trhadap pelaku judol 1. Jauhkan alat judol dari dia (hp komputer) 2. Perkuat diri dia dg agama 3. Awasi pertemanannya","1791138586022285508","","Gojekmilitan","in","","0","3","1","https://twitter.com/Belajarpolitik5/status/1791138586022285508","1119900988612026369","Belajarpolitik5"
"1791138315569410294","Thu May 16 16:07:06 +0000 2024","2","Ini Peran 5 Pelaku Begal Casis Bintara Polri di Kebon Jeruk https://t.co/LFVbKpvcqV #beritasatu #news #berita","1791138315569410294","","","in","Jakarta","0","0","0","https://twitter.com/Beritasatu/status/1791138315569410294","154102750","Beritasatu"
"1791138204940427389","Thu May 16 16:06:40 +0000 2024","0","Ojol medan menangkap pelaku curanmor https://t.co/dvvMMjnBZ7","1791138204940427389","https://pbs.twimg.com/ext_tw_video_thumb/1791138027777204224/pu/img/3f7MkMN2Dl3fkbXb.jpg","","in","Medan Tembung, Indonesia","0","0","0","https://twitter.com/Masteng7103/status/1791138204940427389","1593199110949330945","Masteng7103"
"1791138145351979364","Thu May 16 16:06:26 +0000 2024","0","SIAPA BEKING GENK MOTIR ITU DAN BEKING 3 PELAKU PEMBUNUHAN PERKOSAAN YANG BURON SEJAK 2016 HINGGA SEKARANG?#AKSITERORISMEGEÑKMOTORGAKOERNAHMAMPUDIDIANTISIPASIAPARATNYAJOKIWI.","1791138145351979364","","","in","","0","0","0","https://twitter.com/penjagadapur/status/1791138145351979364","3228973832","penjagadapur"
"1791138141988176357","Thu May 16 16:06:25 +0000 2024","6","Netizen Bongkar Akun Facebook Pelaku Utama Kasus Vina Cirebon Sempat Tulis Status Begini https://t.co/Eraa4tSXJ1","1791138141988176357","","","in","","0","0","3","https://twitter.com/OposisiCerdas/status/1791138141988176357","887743587579944960","OposisiCerdas"
"1790598998581252200","Thu May 16 16:05:31 +0000 2024","0","@runeh_ Datengi rumahnya temui keluarganya bicarakan masalahnya.klo gk ada respon dari keluarga atw gk ada perubahan dri pelaku ancam laporkan sebagai perbuatan tidak menyenangkan.","1791137916359790862","","runeh_","in","","0","0","0","https://twitter.com/sufi69fitriani/status/1791137916359790862","1677211031221997568","sufi69fitriani"
"1791137736218554375","Thu May 16 16:04:48 +0000 2024","0","Ibu dan Anak di Tangerang Tertangkap Edarkan Uang Palsu Para terduga pelaku mengaku... #NewsUpdate #Kriminal #UangPalsu #Rupiah #Tanggerang #Banten #Pakuhaji #PolsekPakuhaji https://t.co/oTZKaLi36d https://t.co/0D0VedVVih","1791137736218554375","https://pbs.twimg.com/media/GNtmEnlawAArX-7.png","","in","","0","0","0","https://twitter.com/arahkitamedia_/status/1791137736218554375","1741804247933665280","arahkitamedia_"
"1791137607755481224","Thu May 16 16:04:18 +0000 2024","0","Serem amat. Harusnya si pelaku udh jadi pasien psikiatri biar diterapi. Skrg aja udh bikin korbannya trauma terus berpotensi bisa membahayakan secara fisik pula.","1791137607755481224","","","in","","0","0","1","https://twitter.com/saritjiang/status/1791137607755481224","52965986","saritjiang"
"1791131383219589459","Thu May 16 16:04:17 +0000 2024","1","@KompasTV Udah ada yg ketangkep sebagian pelaku jejak digital juga ada anggota genk ada stuktural nya malah ada bantuan dr jin juga bertahun tahun kasus nya sampe saat ini cuma bilang sulit","1791137607382180326","","KompasTV","in","Bandung, Jawa Barat","0","0","0","https://twitter.com/bian_sober/status/1791137607382180326","126785329","bian_sober"
